station_id,station_name,ward,latitude,longitude,installation_year,telemetry_interval_mins,sensor_type,operational_status
BMC_AWS_001,BMC AWS Ward A - Station 1,A,18.91707,72.83233,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_002,BMC AWS Ward A - Station 2,A,18.91169,72.83373,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_003,BMC AWS Ward A - Station 3,A,18.92855,72.84776,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_004,BMC AWS Ward B - Station 1,B,18.9361,72.82258,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_005,BMC AWS Ward B - Station 2,B,18.9465,72.84898,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_006,BMC AWS Ward C - Station 1,C,18.95128,72.82783,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_007,BMC AWS Ward C - Station 2,C,18.96098,72.83808,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_008,BMC AWS Ward C - Station 3,C,18.94856,72.8369,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_009,BMC AWS Ward D - Station 1,D,18.96534,72.81742,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_010,BMC AWS Ward D - Station 2,D,18.96392,72.80668,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_011,BMC AWS Ward D - Station 3,D,18.96437,72.81245,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_012,BMC AWS Ward E - Station 1,E,18.98305,72.83769,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_013,BMC AWS Ward E - Station 2,E,18.97989,72.82537,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_014,BMC AWS Ward F/N - Station 1,F/N,19.02881,72.8735,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_015,BMC AWS Ward F/N - Station 2,F/N,19.03524,72.87006,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_016,BMC AWS Ward F/S - Station 1,F/S,18.99435,72.84507,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_017,BMC AWS Ward F/S - Station 2,F/S,19.01287,72.82803,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_018,BMC AWS Ward G/N - Station 1,G/N,19.04161,72.84477,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_019,BMC AWS Ward G/N - Station 2,G/N,19.01329,72.83449,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_020,BMC AWS Ward G/N - Station 3,G/N,19.02119,72.84992,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_021,BMC AWS Ward G/S - Station 1,G/S,19.00801,72.8144,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_022,BMC AWS Ward G/S - Station 2,G/S,18.99853,72.82202,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_023,BMC AWS Ward G/S - Station 3,G/S,19.00017,72.80405,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_024,BMC AWS Ward H/E - Station 1,H/E,19.0762,72.85823,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_025,BMC AWS Ward H/E - Station 2,H/E,19.06596,72.8562,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_026,BMC AWS Ward H/W - Station 1,H/W,19.05377,72.8271,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_027,BMC AWS Ward H/W - Station 2,H/W,19.05055,72.83203,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_028,BMC AWS Ward H/W - Station 3,H/W,19.06312,72.8431,2020,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_029,BMC AWS Ward K/E - Station 1,K/E,19.12703,72.87681,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_030,BMC AWS Ward K/W - Station 1,K/W,19.12298,72.82957,2016,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_031,BMC AWS Ward K/W - Station 2,K/W,19.13359,72.83235,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_032,BMC AWS Ward L - Station 1,L,19.07433,72.8903,2018,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_033,BMC AWS Ward M/E - Station 1,M/E,19.03463,72.90986,2022,15,Tipping Bucket + Optical Pluviometer,Active
BMC_AWS_034,BMC AWS Ward M/W - Station 1,M/W,19.06107,72.88208,2020,15,Tipping Bucket + Optical Pluviometer,Active
