date,station_name,latitude,longitude,precipitation_mm,rain_sum_mm,precipitation_hours,max_temp_c,min_temp_c,max_wind_speed_kmh
2019-01-01,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.8,14.9,13.9
2019-01-02,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.1,15.4,17.9
2019-01-03,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.4,15.0,13.0
2019-01-04,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.0,15.4,16.3
2019-01-05,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.4,16.0,15.6
2019-01-06,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.9,16.6,23.7
2019-01-07,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.5,17.7,20.3
2019-01-08,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.9,17.3,17.1
2019-01-09,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.0,14.4,16.8
2019-01-10,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.8,14.7,14.5
2019-01-11,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.6,15.4,16.3
2019-01-12,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.2,16.1,17.1
2019-01-13,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.4,16.0,19.6
2019-01-14,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.7,16.6,18.7
2019-01-15,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,31.5,18.9,18.1
2019-01-16,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.4,17.5,15.6
2019-01-17,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.5,18.0,17.1
2019-01-18,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.2,16.5,15.3
2019-01-19,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,31.0,16.8,13.8
2019-01-20,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,31.0,17.6,14.0
2019-01-21,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.8,18.3,16.6
2019-01-22,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,26.4,19.6,11.9
2019-01-23,Santacruz_IMD,19.1197,72.8468,0.2,0.2,2.0,25.8,19.2,22.4
2019-01-24,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,26.4,17.2,22.9
2019-01-25,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,25.6,17.3,26.7
2019-01-26,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.2,16.8,27.4
2019-01-27,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.9,19.0,27.4
2019-01-28,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.4,18.4,22.5
2019-01-29,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.4,18.2,19.7
2019-01-30,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.8,15.8,14.7
2019-01-31,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.2,17.2,16.6
2019-02-01,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.3,16.9,17.3
2019-02-02,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.3,18.1,22.0
2019-02-03,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.8,17.8,15.6
2019-02-04,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.5,18.7,18.4
2019-02-05,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.9,18.9,18.0
2019-02-06,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,26.9,19.7,19.6
2019-02-07,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,25.0,19.2,22.1
2019-02-08,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,23.1,16.0,24.6
2019-02-09,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.5,15.1,23.2
2019-02-10,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.7,13.0,13.8
2019-02-11,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.8,15.3,15.1
2019-02-12,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,32.3,19.3,10.9
2019-02-13,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.2,22.0,21.5
2019-02-14,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.9,20.6,22.9
2019-02-15,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.7,19.5,19.4
2019-02-16,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.5,16.6,19.9
2019-02-17,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,27.2,17.1,18.7
2019-02-18,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.7,17.9,19.2
2019-02-19,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,28.7,17.2,19.6
2019-02-20,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,30.0,18.2,14.8
2019-02-21,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.3,19.8,23.7
2019-02-22,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.5,21.1,20.5
2019-02-23,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,32.5,21.1,18.4
2019-02-24,Santacruz_IMD,19.1197,72.8468,0.0,0.0,0.0,29.9,21.1,26.6
