timestamp,station_id,station_name,ward,rainfall_mm_per_hr,rainfall_category,humidity_pct,atmospheric_pressure_hpa
2022-06-01 00:00:00,AWS_SCZ_01,Santacruz AWS,H/E,0.0,None,83,1004.9
2022-06-01 00:00:00,AWS_CLB_02,Colaba AWS,A,0.0,None,82,1006.5
2022-06-01 00:00:00,AWS_KRL_03,Kurla AWS,L,0.0,None,83,1005.6
2022-06-01 00:00:00,AWS_CHM_04,Chembur AWS,M/W,0.0,None,84,1007.2
2022-06-01 00:00:00,AWS_AND_05,Andheri West AWS,K/W,0.0,None,82,1005.5
2022-06-01 00:00:00,AWS_DDR_06,Dadar AWS,G/N,0.0,None,84,1006.2
2022-06-01 00:00:00,AWS_BVI_07,Borivali AWS,R/C,0.0,None,82,1006.8
2022-06-01 00:00:00,AWS_WRL_08,Worli AWS,G/S,0.0,None,84,1003.7
2022-06-01 01:00:00,AWS_SCZ_01,Santacruz AWS,H/E,0.0,None,85,1004.3
2022-06-01 01:00:00,AWS_CLB_02,Colaba AWS,A,0.0,None,84,1003.8
2022-06-01 01:00:00,AWS_KRL_03,Kurla AWS,L,0.0,None,86,1004.3
2022-06-01 01:00:00,AWS_CHM_04,Chembur AWS,M/W,0.0,None,85,1006.0
2022-06-01 01:00:00,AWS_AND_05,Andheri West AWS,K/W,0.0,None,84,1004.8
2022-06-01 01:00:00,AWS_DDR_06,Dadar AWS,G/N,0.0,None,84,1003.7
2022-06-01 01:00:00,AWS_BVI_07,Borivali AWS,R/C,0.0,None,83,1002.0
2022-06-01 01:00:00,AWS_WRL_08,Worli AWS,G/S,0.0,None,86,1002.7
2022-06-01 02:00:00,AWS_SCZ_01,Santacruz AWS,H/E,0.0,None,84,1003.3
2022-06-01 02:00:00,AWS_CLB_02,Colaba AWS,A,0.0,None,82,1003.3
2022-06-01 02:00:00,AWS_KRL_03,Kurla AWS,L,0.0,None,82,1006.6
2022-06-01 02:00:00,AWS_CHM_04,Chembur AWS,M/W,0.0,None,83,1003.6
2022-06-01 02:00:00,AWS_AND_05,Andheri West AWS,K/W,0.0,None,84,1005.2
2022-06-01 02:00:00,AWS_DDR_06,Dadar AWS,G/N,0.0,None,82,1004.0
2022-06-01 02:00:00,AWS_BVI_07,Borivali AWS,R/C,0.0,None,85,1005.3
2022-06-01 02:00:00,AWS_WRL_08,Worli AWS,G/S,0.0,None,84,1006.4
2022-06-01 03:00:00,AWS_SCZ_01,Santacruz AWS,H/E,0.0,None,85,1006.9
2022-06-01 03:00:00,AWS_CLB_02,Colaba AWS,A,0.0,None,83,1005.6
2022-06-01 03:00:00,AWS_KRL_03,Kurla AWS,L,0.0,None,82,1004.2
2022-06-01 03:00:00,AWS_CHM_04,Chembur AWS,M/W,0.0,None,83,1003.4
2022-06-01 03:00:00,AWS_AND_05,Andheri West AWS,K/W,0.0,None,82,1005.8
2022-06-01 03:00:00,AWS_DDR_06,Dadar AWS,G/N,0.0,None,82,1006.1
2022-06-01 03:00:00,AWS_BVI_07,Borivali AWS,R/C,0.0,None,82,1003.9
2022-06-01 03:00:00,AWS_WRL_08,Worli AWS,G/S,0.0,None,85,1004.4
2022-06-01 04:00:00,AWS_SCZ_01,Santacruz AWS,H/E,4.1,Light,96,1003.1
2022-06-01 04:00:00,AWS_CLB_02,Colaba AWS,A,4.48,Light,95,1003.8
2022-06-01 04:00:00,AWS_KRL_03,Kurla AWS,L,4.92,Light,95,1006.1
2022-06-01 04:00:00,AWS_CHM_04,Chembur AWS,M/W,4.19,Light,96,1005.0
2022-06-01 04:00:00,AWS_AND_05,Andheri West AWS,K/W,4.83,Light,97,1005.5
2022-06-01 04:00:00,AWS_DDR_06,Dadar AWS,G/N,4.73,Light,97,1004.9
2022-06-01 04:00:00,AWS_BVI_07,Borivali AWS,R/C,5.56,Moderate,95,1005.7
2022-06-01 04:00:00,AWS_WRL_08,Worli AWS,G/S,5.24,Moderate,98,1005.4
2022-06-01 05:00:00,AWS_SCZ_01,Santacruz AWS,H/E,9.66,Moderate,97,1004.9
2022-06-01 05:00:00,AWS_CLB_02,Colaba AWS,A,12.95,Moderate,97,1005.0
2022-06-01 05:00:00,AWS_KRL_03,Kurla AWS,L,11.76,Moderate,96,1006.2
2022-06-01 05:00:00,AWS_CHM_04,Chembur AWS,M/W,12.44,Moderate,94,1005.8
2022-06-01 05:00:00,AWS_AND_05,Andheri West AWS,K/W,14.65,Moderate,96,1004.1
2022-06-01 05:00:00,AWS_DDR_06,Dadar AWS,G/N,13.04,Moderate,94,1004.5
2022-06-01 05:00:00,AWS_BVI_07,Borivali AWS,R/C,9.46,Moderate,94,1004.1
2022-06-01 05:00:00,AWS_WRL_08,Worli AWS,G/S,11.97,Moderate,98,1003.6
2022-06-01 06:00:00,AWS_SCZ_01,Santacruz AWS,H/E,20.47,Heavy,95,1000.1
2022-06-01 06:00:00,AWS_CLB_02,Colaba AWS,A,20.73,Heavy,96,1001.3
2022-06-01 06:00:00,AWS_KRL_03,Kurla AWS,L,12.37,Moderate,94,1002.3
2022-06-01 06:00:00,AWS_CHM_04,Chembur AWS,M/W,18.77,Heavy,96,1000.1
2022-06-01 06:00:00,AWS_AND_05,Andheri West AWS,K/W,19.2,Heavy,97,1001.1
2022-06-01 06:00:00,AWS_DDR_06,Dadar AWS,G/N,15.48,Moderate,98,1002.1
2022-06-01 06:00:00,AWS_BVI_07,Borivali AWS,R/C,20.58,Heavy,94,999.1
2022-06-01 06:00:00,AWS_WRL_08,Worli AWS,G/S,13.36,Moderate,95,1006.7
2022-06-01 07:00:00,AWS_SCZ_01,Santacruz AWS,H/E,12.92,Moderate,97,1006.8
2022-06-01 07:00:00,AWS_CLB_02,Colaba AWS,A,16.7,Heavy,94,1003.0
2022-06-01 07:00:00,AWS_KRL_03,Kurla AWS,L,12.71,Moderate,97,1005.8
2022-06-01 07:00:00,AWS_CHM_04,Chembur AWS,M/W,16.92,Heavy,97,999.8
2022-06-01 07:00:00,AWS_AND_05,Andheri West AWS,K/W,18.46,Heavy,94,999.0
2022-06-01 07:00:00,AWS_DDR_06,Dadar AWS,G/N,17.89,Heavy,95,999.2
2022-06-01 07:00:00,AWS_BVI_07,Borivali AWS,R/C,14.03,Moderate,96,1004.2
2022-06-01 07:00:00,AWS_WRL_08,Worli AWS,G/S,15.37,Moderate,94,1001.8
2022-06-01 08:00:00,AWS_SCZ_01,Santacruz AWS,H/E,19.37,Heavy,94,1000.4
2022-06-01 08:00:00,AWS_CLB_02,Colaba AWS,A,21.35,Heavy,94,999.7
2022-06-01 08:00:00,AWS_KRL_03,Kurla AWS,L,23.91,Heavy,94,1001.2
2022-06-01 08:00:00,AWS_CHM_04,Chembur AWS,M/W,25.12,Heavy,97,998.9
2022-06-01 08:00:00,AWS_AND_05,Andheri West AWS,K/W,27.26,Heavy,95,1002.4
2022-06-01 08:00:00,AWS_DDR_06,Dadar AWS,G/N,28.17,Heavy,97,1002.1
2022-06-01 08:00:00,AWS_BVI_07,Borivali AWS,R/C,18.62,Heavy,96,1000.3
2022-06-01 08:00:00,AWS_WRL_08,Worli AWS,G/S,27.77,Heavy,94,1000.3
2022-06-01 09:00:00,AWS_SCZ_01,Santacruz AWS,H/E,30.17,Heavy,95,1000.5
2022-06-01 09:00:00,AWS_CLB_02,Colaba AWS,A,22.19,Heavy,96,998.8
2022-06-01 09:00:00,AWS_KRL_03,Kurla AWS,L,22.72,Heavy,94,1001.0
2022-06-01 09:00:00,AWS_CHM_04,Chembur AWS,M/W,23.37,Heavy,97,999.4
2022-06-01 09:00:00,AWS_AND_05,Andheri West AWS,K/W,18.75,Heavy,95,999.8
2022-06-01 09:00:00,AWS_DDR_06,Dadar AWS,G/N,24.63,Heavy,97,1001.6
2022-06-01 09:00:00,AWS_BVI_07,Borivali AWS,R/C,22.9,Heavy,98,1002.3
2022-06-01 09:00:00,AWS_WRL_08,Worli AWS,G/S,23.37,Heavy,95,1001.7
2022-06-01 10:00:00,AWS_SCZ_01,Santacruz AWS,H/E,25.67,Heavy,98,999.9
2022-06-01 10:00:00,AWS_CLB_02,Colaba AWS,A,19.98,Heavy,96,998.2
