segment_id,segment_name,corridor_code,ward,surface_type,lanes,length_km,start_lat,start_lon,end_lat,end_lon,elevation_m,pavement_age_years,pci_score,daily_pcu_traffic,nearest_drain_distance_m,baseline_pothole_prob
SEG_WEH_001,Western Express Highway - Section 1 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.45,19.055,72.842,19.05988,72.84267,4.72,8.0,59,123250,23.0,0.207
SEG_WEH_002,Western Express Highway - Section 2 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.55,19.05988,72.84267,19.06476,72.84333,4.55,4.0,77,131950,36.0,0.179
SEG_WEH_003,Western Express Highway - Section 3 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.65,19.06476,72.84333,19.06964,72.844,4.4,11.0,50,140650,49.0,0.229
SEG_WEH_004,Western Express Highway - Section 4 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.75,19.06964,72.844,19.07452,72.84467,3.08,7.0,63,149350,62.0,0.2
SEG_WEH_005,Western Express Highway - Section 5 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.45,19.07452,72.84467,19.0794,72.84533,3.1,3.0,81,158049,75.0,0.171
SEG_WEH_006,Western Express Highway - Section 6 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.55,19.0794,72.84533,19.08429,72.846,3.52,10.0,50,123250,88.0,0.221
SEG_WEH_007,Western Express Highway - Section 7 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.65,19.08429,72.846,19.08917,72.84667,3.11,6.0,68,131950,21.0,0.193
SEG_WEH_008,Western Express Highway - Section 8 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.75,19.08917,72.84667,19.09405,72.84733,4.03,2.0,86,140650,34.0,0.164
SEG_WEH_009,Western Express Highway - Section 9 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.45,19.09405,72.84733,19.09893,72.848,4.98,9.0,54,149350,47.0,0.214
SEG_WEH_010,Western Express Highway - Section 10 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.55,19.09893,72.848,19.10381,72.84867,4.75,5.0,72,158049,60.0,0.186
SEG_WEH_011,Western Express Highway - Section 11 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.65,19.10381,72.84867,19.10869,72.84933,5.73,1.0,90,123250,73.0,0.157
SEG_WEH_012,Western Express Highway - Section 12 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.75,19.10869,72.84933,19.11357,72.85,6.71,8.0,59,131950,86.0,0.207
SEG_WEH_013,Western Express Highway - Section 13 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.45,19.11357,72.85,19.11845,72.85067,6.5,4.0,77,140650,19.0,0.179
SEG_WEH_014,Western Express Highway - Section 14 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.55,19.11845,72.85067,19.12333,72.85133,7.48,11.0,50,149350,32.0,0.229
SEG_WEH_015,Western Express Highway - Section 15 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.65,19.12333,72.85133,19.12821,72.852,8.47,7.0,63,158049,45.0,0.2
SEG_WEH_016,Western Express Highway - Section 16 (H/E),WEH,H/E,Mastic Asphalt / CC,8,0.75,19.12821,72.852,19.1331,72.85267,8.26,3.0,81,123250,58.0,0.171
SEG_WEH_017,Western Express Highway - Section 17 (K/E),WEH,K/E,Mastic Asphalt / CC,8,0.45,19.1331,72.85267,19.13798,72.85333,9.24,10.0,50,131950,71.0,0.221
SEG_WEH_018,Western Express Highway - Section 18 (P/S),WEH,P/S,Mastic Asphalt / CC,8,0.55,19.13798,72.85333,19.14286,72.854,10.23,6.0,68,140650,84.0,0.193
SEG_WEH_019,Western Express Highway - Section 19 (R/C),WEH,R/C,Mastic Asphalt / CC,8,0.65,19.14286,72.854,19.14774,72.85467,10.02,2.0,86,149350,17.0,0.164
SEG_WEH_020,Western Express Highway - Section 20 (R/N),WEH,R/N,Mastic Asphalt / CC,8,0.75,19.14774,72.85467,19.15262,72.85533,11.01,9.0,54,158049,30.0,0.214
