source_road_id,target_road_id,distance_km,connection_type,capacity_pcu_per_hr
RD_WEH_01,RD_WEH_04,12.04,Interchange,9600
RD_WEH_01,RD_SCL_02,2.94,Interchange,9600
RD_WEH_01,RD_WEH_03,7.43,Interchange,9600
RD_WEH_02,RD_WEH_05,15.28,Interchange,9600
RD_WEH_02,RD_LOC_016,3.14,Interchange,9600
RD_WEH_02,RD_WEH_03,3.61,Interchange,9600
RD_WEH_03,RD_WEH_04,4.67,Interchange,9600
RD_WEH_03,RD_EEH_04,7.52,Interchange,9600
RD_WEH_03,RD_WEH_02,3.61,Interchange,9600
RD_WEH_04,RD_EEH_03,8.96,Interchange,9600
RD_WEH_04,RD_WEH_05,7.01,Interchange,9600
RD_WEH_04,RD_LOC_083,5.46,Interchange,9600
RD_WEH_05,RD_WEH_01,19.04,Interchange,9600
RD_WEH_05,RD_EEH_02,18.17,Interchange,9600
RD_WEH_05,RD_WEH_02,15.28,Interchange,9600
RD_SVR_01,RD_LOC_036,2.53,Intersection,4800
RD_SVR_01,RD_WEH_02,4.07,Intersection,4800
RD_SVR_01,RD_EEH_03,8.85,Intersection,4800
RD_SVR_02,RD_LOC_073,0.57,Intersection,4800
RD_SVR_02,RD_LOC_017,2.31,Intersection,4800
RD_SVR_02,RD_WEH_05,16.94,Intersection,4800
RD_SVR_03,RD_WEH_02,1.62,Intersection,4800
RD_SVR_03,RD_WEH_04,8.14,Intersection,4800
RD_SVR_03,RD_EEH_03,7.44,Intersection,4800
RD_SVR_04,RD_WEH_05,11.98,Intersection,4800
RD_SVR_04,RD_EEH_02,7.82,Intersection,4800
RD_SVR_04,RD_LOC_066,2.15,Intersection,4800
RD_SVR_05,RD_WEH_01,9.99,Intersection,4800
RD_SVR_05,RD_LOC_053,2.71,Intersection,4800
RD_SVR_05,RD_WEH_04,2.75,Intersection,4800
RD_SVR_06,RD_WEH_04,3.05,Intersection,4800
RD_SVR_06,RD_LOC_083,2.97,Intersection,4800
RD_SVR_06,RD_WEH_02,10.79,Intersection,4800
RD_LNK_01,RD_WEH_02,3.93,Intersection,7200
RD_LNK_01,RD_EEH_03,9.3,Intersection,7200
RD_LNK_01,RD_WEH_01,1.74,Intersection,7200
RD_LNK_02,RD_EEH_04,11.91,Intersection,7200
RD_LNK_02,RD_WEH_03,5.31,Intersection,7200
RD_LNK_02,RD_WEH_01,3.33,Intersection,7200
RD_LNK_03,RD_EEH_01,11.3,Intersection,7200
RD_LNK_03,RD_WEH_02,5.71,Intersection,7200
RD_LNK_03,RD_WEH_03,3.43,Intersection,7200
RD_LNK_04,RD_EEH_04,10.93,Intersection,7200
RD_LNK_04,RD_WEH_03,5.71,Intersection,7200
RD_LNK_04,RD_LOC_043,1.2,Intersection,7200
RD_LNK_05,RD_LOC_074,6.43,Intersection,7200
RD_LNK_05,RD_LOC_008,9.79,Intersection,7200
RD_LNK_05,RD_LOC_063,7.89,Intersection,7200
RD_EEH_01,RD_WEH_02,5.66,Interchange,9600
RD_EEH_01,RD_AMB_02,2.91,Interchange,9600
RD_EEH_01,RD_LOC_068,1.03,Interchange,9600
RD_EEH_02,RD_EEH_04,9.05,Interchange,9600
RD_EEH_02,RD_WEH_02,4.24,Interchange,9600
RD_EEH_02,RD_LOC_037,2.34,Interchange,9600
RD_EEH_03,RD_LBS_02,3.38,Interchange,9600
RD_EEH_03,RD_WEH_04,8.96,Interchange,9600
RD_EEH_03,RD_EEH_02,4.6,Interchange,9600
RD_EEH_04,RD_WEH_01,12.42,Interchange,9600
RD_EEH_04,RD_WEH_03,7.52,Interchange,9600
RD_EEH_04,RD_LOC_056,7.79,Interchange,9600
RD_LBS_01,RD_WEH_01,3.23,Intersection,4800
RD_LBS_01,RD_WEH_05,20.32,Intersection,4800
RD_LBS_01,RD_SCL_01,3.23,Intersection,4800
RD_LBS_02,RD_EEH_04,7.82,Intersection,4800
RD_LBS_02,RD_EEH_03,3.38,Intersection,4800
RD_LBS_02,RD_EEH_01,4.56,Intersection,4800
RD_LBS_03,RD_LOC_027,3.92,Intersection,4800
RD_LBS_03,RD_WEH_05,14.23,Intersection,4800
RD_LBS_03,RD_LOC_003,6.14,Intersection,4800
RD_LBS_04,RD_LOC_041,5.01,Intersection,4800
RD_LBS_04,RD_EEH_01,13.73,Intersection,4800
RD_LBS_04,RD_LOC_026,4.52,Intersection,4800
RD_JVL_01,RD_WEH_05,10.38,Intersection,7200
RD_JVL_01,RD_WEH_01,8.67,Intersection,7200
RD_JVL_01,RD_LOC_004,3.52,Intersection,7200
RD_JVL_02,RD_LOC_061,3.43,Intersection,7200
RD_JVL_02,RD_WEH_03,5.25,Intersection,7200
RD_JVL_02,RD_LBS_03,2.29,Intersection,7200
RD_SCL_01,RD_LBS_01,3.23,Intersection,7200
RD_SCL_01,RD_LOC_037,3.01,Intersection,7200
RD_SCL_01,RD_WEH_01,2.6,Intersection,7200
RD_SCL_02,RD_LOC_002,3.64,Intersection,4800
RD_SCL_02,RD_LOC_060,1.55,Intersection,4800
RD_SCL_02,RD_EEH_04,10.02,Intersection,4800
RD_AMB_01,RD_EEH_04,19.84,Intersection,7200
RD_AMB_01,RD_WEH_05,27.94,Intersection,7200
RD_AMB_01,RD_WEH_02,12.67,Intersection,7200
RD_AMB_02,RD_WEH_01,4.12,Intersection,7200
RD_AMB_02,RD_WEH_04,16.07,Intersection,7200
RD_AMB_02,RD_LOC_021,3.61,Intersection,7200
RD_SNB_01,RD_EEH_04,19.55,Intersection,4800
RD_SNB_01,RD_LOC_038,3.4,Intersection,4800
RD_SNB_01,RD_EEH_03,15.1,Intersection,4800
RD_MDR_01,RD_WEH_01,14.6,Intersection,7200
RD_MDR_01,RD_WEH_05,33.64,Intersection,7200
RD_MDR_01,RD_WEH_02,18.4,Intersection,7200
RD_EFR_01,RD_EEH_03,17.93,Intersection,4800
RD_EFR_01,RD_WEH_04,24.14,Intersection,4800
RD_EFR_01,RD_WEH_03,19.48,Intersection,4800
RD_CST_01,RD_WEH_01,12.17,Intersection,9600
RD_CST_01,RD_LOC_069,3.54,Intersection,9600
RD_CST_01,RD_LOC_020,2.93,Intersection,9600
RD_LOC_001,RD_WEH_04,21.94,Intersection,2400
RD_LOC_001,RD_EEH_01,8.32,Intersection,2400
RD_LOC_001,RD_WEH_02,13.68,Intersection,2400
RD_LOC_002,RD_EEH_01,5.06,Intersection,4800
RD_LOC_002,RD_WEH_04,9.52,Intersection,4800
RD_LOC_002,RD_WEH_01,2.6,Intersection,4800
RD_LOC_003,RD_WEH_05,11.27,Intersection,4800
RD_LOC_003,RD_LBS_03,6.14,Intersection,4800
RD_LOC_003,RD_EEH_03,7.38,Intersection,4800
RD_LOC_004,RD_JVL_01,3.52,Intersection,2400
RD_LOC_004,RD_WEH_03,2.56,Intersection,2400
RD_LOC_004,RD_LOC_057,3.46,Intersection,2400
RD_LOC_005,RD_EEH_04,25.41,Intersection,2400
RD_LOC_005,RD_EEH_03,20.93,Intersection,2400
RD_LOC_005,RD_LOC_082,0.92,Intersection,2400
RD_LOC_006,RD_LOC_014,3.09,Intersection,2400
RD_LOC_006,RD_LOC_039,1.55,Intersection,2400
RD_LOC_006,RD_LOC_051,1.95,Intersection,2400
RD_LOC_007,RD_WEH_01,8.79,Intersection,2400
RD_LOC_007,RD_WEH_05,16.38,Intersection,2400
RD_LOC_007,RD_WEH_03,7.35,Intersection,2400
RD_LOC_008,RD_WEH_05,5.37,Intersection,2400
RD_LOC_008,RD_LOC_042,4.77,Intersection,2400
RD_LOC_008,RD_EEH_04,17.04,Intersection,2400
RD_LOC_009,RD_WEH_05,25.29,Intersection,4800
RD_LOC_009,RD_WEH_04,18.28,Intersection,4800
RD_LOC_009,RD_EEH_01,5.06,Intersection,4800
RD_LOC_010,RD_LBS_03,3.12,Intersection,2400
RD_LOC_010,RD_LOC_049,2.86,Intersection,2400
RD_LOC_010,RD_LOC_027,1.31,Intersection,2400
RD_LOC_011,RD_EEH_04,17.49,Intersection,2400
RD_LOC_011,RD_WEH_01,6.09,Intersection,2400
RD_LOC_011,RD_LOC_025,1.41,Intersection,2400
RD_LOC_012,RD_WEH_03,8.42,Intersection,2400
RD_LOC_012,RD_WEH_01,15.85,Intersection,2400
RD_LOC_012,RD_EEH_01,17.36,Intersection,2400
RD_LOC_013,RD_LOC_026,3.57,Intersection,4800
RD_LOC_013,RD_EEH_03,10.28,Intersection,4800
RD_LOC_013,RD_WEH_04,11.78,Intersection,4800
RD_LOC_014,RD_EEH_02,17.83,Intersection,2400
RD_LOC_014,RD_WEH_04,7.03,Intersection,2400
RD_LOC_014,RD_LOC_075,1.41,Intersection,2400
RD_LOC_015,RD_EEH_03,5.26,Intersection,4800
RD_LOC_015,RD_LOC_023,2.68,Intersection,4800
RD_LOC_015,RD_EEH_01,5.35,Intersection,4800
RD_LOC_016,RD_WEH_04,5.29,Intersection,2400
RD_LOC_016,RD_WEH_05,12.28,Intersection,2400
RD_LOC_016,RD_WEH_03,0.78,Intersection,2400
RD_LOC_017,RD_WEH_02,4.37,Intersection,4800
RD_LOC_017,RD_WEH_04,12.29,Intersection,4800
RD_LOC_017,RD_LOC_036,2.06,Intersection,4800
RD_LOC_018,RD_WEH_03,14.36,Intersection,2400
RD_LOC_018,RD_EEH_01,20.35,Intersection,2400
RD_LOC_018,RD_EEH_03,12.43,Intersection,2400
RD_LOC_019,RD_EEH_02,11.87,Intersection,2400
RD_LOC_019,RD_EEH_01,8.54,Intersection,2400
RD_LOC_019,RD_LOC_020,1.58,Intersection,2400
RD_LOC_020,RD_WEH_01,10.14,Intersection,4800
RD_LOC_020,RD_EEH_01,9.71,Intersection,4800
RD_LOC_020,RD_LOC_022,0.85,Intersection,4800
