drain_id,name,system_type,ward,length_km,width_m,catchment_sqkm,capacity_cumecs,siltation_pct,outfall_location
DRN_MIT_01,Mithi River (Vihar Lake to Powai),Natural River / Major SWD,S,4.5,25.0,28.5,140.0,32,Mahim Creek
DRN_MIT_02,Mithi River (Powai to Kurla SCLR),Natural River / Major SWD,L,6.8,45.0,45.0,280.0,48,Mahim Creek
DRN_MIT_03,Mithi River (Kurla to Mahim Bay Outfall),Natural River / Major SWD,G/N,6.5,70.0,72.0,450.0,52,Arabian Sea (Mahim Bay)
DRN_VAK_01,Vakola Nallah (Santacruz East to Mithi Confluence),Major Open Nallah,H/E,4.2,18.0,14.2,85.0,42,Mithi River (BKC)
DRN_POI_01,Poisar River (Sanjay Gandhi NP to Kandivali),Major River / Drainage Channel,R/S,5.2,20.0,18.0,110.0,35,Marve Creek
DRN_POI_02,Poisar River (Kandivali to Marve Creek Outfall),Major River / Drainage Channel,P/N,4.8,35.0,24.5,160.0,38,Arabian Sea (Marve Creek)
DRN_OSH_01,Oshiwara River (Aarey to Jogeshwari / Goregaon),Major River / Drainage Channel,P/S,4.6,22.0,16.5,95.0,40,Malad Creek
DRN_OSH_02,Oshiwara River (Goregaon to Malad Creek Outfall),Major River / Drainage Channel,K/W,3.8,38.0,26.0,175.0,44,Arabian Sea (Malad Creek)
DRN_DAH_01,Dahisar River (National Park to Dahisar Check Naka),Major River / Drainage Channel,R/N,6.5,25.0,21.0,125.0,28,Gorai Creek
DRN_GAZ_01,Gazdarband Nallah (Khar Danda to Arabian Sea),Major Nallah / SWD,H/W,3.4,16.0,11.0,65.0,36,Arabian Sea (Gazdarband)
DRN_IRL_01,Irla Nallah (Andheri West to Juhu Sea),Major Nallah / SWD,K/W,4.1,18.0,15.2,80.0,39,Arabian Sea (Irla)
DRN_HND_01,Hindmata Underground SWD Tank & Conduit System,Underground Stormwater Holding Tank + Box Drain,F/S,2.8,12.0,8.5,55.0,22,Pramod Mahajan Kala Park Tank / Mahalaxmi
DRN_CHN_01,Chunabhatti-Kurla Lowline SWD Channel,Box Drain Conduit,L,3.6,10.0,9.2,45.0,50,Mithi River
DRN_MHL_01,Mahul Creek SWD Outfall Channel,Tidal Creek Outfall,M/E,5.0,30.0,22.0,130.0,46,Thane Creek / Mahul
DRN_SWD_001,M/E Ward Roadside Box Drain SWD-01,Roadside Covered Box Drain,M/E,1.81,2.1,3.2,8.8,32,Connected to Major Nallah in Ward M/E
DRN_SWD_002,B Ward Roadside Box Drain SWD-02,Roadside Covered Box Drain,B,0.92,4.4,2.16,13.9,34,Connected to Major Nallah in Ward B
DRN_SWD_003,H/E Ward Roadside Box Drain SWD-03,Roadside Covered Box Drain,H/E,1.64,2.6,1.87,19.8,40,Connected to Major Nallah in Ward H/E
DRN_SWD_004,P/S Ward Roadside Box Drain SWD-04,Roadside Covered Box Drain,P/S,1.15,2.1,2.74,27.3,28,Connected to Major Nallah in Ward P/S
DRN_SWD_005,E Ward Roadside Box Drain SWD-05,Roadside Covered Box Drain,E,1.57,3.2,1.59,23.7,65,Connected to Major Nallah in Ward E
DRN_SWD_006,B Ward Roadside Box Drain SWD-06,Roadside Covered Box Drain,B,2.17,2.3,1.29,14.5,55,Connected to Major Nallah in Ward B
DRN_SWD_007,S Ward Roadside Box Drain SWD-07,Roadside Covered Box Drain,S,0.86,2.0,1.48,18.7,60,Connected to Major Nallah in Ward S
DRN_SWD_008,R/N Ward Roadside Box Drain SWD-08,Roadside Covered Box Drain,R/N,2.22,3.3,1.77,26.5,65,Connected to Major Nallah in Ward R/N
