pothole_id,road_id,road_name,ward,latitude,longitude,depth_cm,surface_area_sqm,severity_level,pavement_surface_type,primary_failure_cause,reported_by,report_date,status,repair_material_used,repair_completion_date,repair_contractor_id
PTH_2024_00001,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06657,72.84739,15.9,3.44,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-08-03,Inspected - Work Order Issued,Pending,,CONTR_BMC_108
PTH_2024_00002,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07216,72.84521,12.6,2.67,Critical,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,Citizen (MyBMC App),2024-09-14,Resolved / Repaired,Rapid Hardening Concrete,2024-09-17,CONTR_BMC_123
PTH_2024_00003,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07538,72.8443,17.1,3.28,Critical,Asphalt Over CC Base,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-07-28,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-08-02,CONTR_BMC_110
PTH_2024_00004,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07801,72.85032,10.6,3.09,Critical,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,Traffic Police Notification,2024-07-15,Resolved / Repaired,Mastic Asphalt,2024-07-21,CONTR_BMC_124
PTH_2024_00005,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.08501,72.8462,8.4,0.49,High,Asphalt Over CC Base,Heavy Axle Commercial Vehicle Load,Citizen (MyBMC App),2024-07-03,Resolved / Repaired,Mastic Asphalt,2024-07-05,CONTR_BMC_108
PTH_2024_00006,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06809,72.84687,15.5,3.12,Critical,Asphalt Over CC Base,Heavy Axle Commercial Vehicle Load,Traffic Police Notification,2024-08-18,Resolved / Repaired,Rapid Hardening Concrete,2024-08-22,CONTR_BMC_123
PTH_2024_00007,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07732,72.84799,13.0,2.59,Critical,Asphalt Over CC Base,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-09-21,Inspected - Work Order Issued,Pending,,CONTR_BMC_117
PTH_2024_00008,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.08609,72.8493,6.1,2.88,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-06-20,In-Progress,Pending,,CONTR_BMC_122
PTH_2024_00009,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07332,72.84416,18.0,2.56,Critical,Asphalt Over CC Base,Sub-grade Moisture Saturation,Citizen (MyBMC App),2024-06-22,Resolved / Repaired,Mastic Asphalt,2024-06-23,CONTR_BMC_108
PTH_2024_00010,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06443,72.85009,10.4,2.41,Critical,Asphalt Over CC Base,Sub-grade Moisture Saturation,BMC Road Engineer Survey,2024-09-05,Resolved / Repaired,Mastic Asphalt,2024-09-08,CONTR_BMC_118
PTH_2024_00011,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.0692,72.84421,15.6,2.03,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-09-27,Inspected - Work Order Issued,Pending,,CONTR_BMC_107
PTH_2024_00012,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07544,72.84747,9.9,3.33,Critical,Asphalt Over CC Base,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-06-24,In-Progress,Pending,,CONTR_BMC_118
PTH_2024_00013,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06385,72.84971,11.0,2.12,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-08-22,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-08-23,CONTR_BMC_119
PTH_2024_00014,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06959,72.84277,7.0,0.89,Moderate,Asphalt Over CC Base,Sub-grade Moisture Saturation,AI Camera / Patrol Vehicle,2024-06-19,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-06-24,CONTR_BMC_122
PTH_2024_00015,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06237,72.8444,15.5,2.44,Critical,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,AI Camera / Patrol Vehicle,2024-09-07,In-Progress,Pending,,CONTR_BMC_115
PTH_2024_00016,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.08348,72.8476,4.2,1.37,Moderate,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-08-27,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-08-28,CONTR_BMC_102
PTH_2024_00017,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06444,72.8459,5.6,2.1,Critical,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,Citizen (MyBMC App),2024-07-03,Citizen Reported,Pending,,CONTR_BMC_106
PTH_2024_00018,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06358,72.84781,9.6,1.33,High,Asphalt Over CC Base,Asphalt Aging & Pavement Fatigue,Citizen (MyBMC App),2024-07-23,Resolved / Repaired,Cold Mix Polymer Asphalt,2024-07-26,CONTR_BMC_118
PTH_2024_00019,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.0812,72.84284,9.0,2.24,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-06-22,Resolved / Repaired,Mastic Asphalt,2024-06-23,CONTR_BMC_113
PTH_2024_00020,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06915,72.84468,14.7,2.29,Critical,Asphalt Over CC Base,Asphalt Aging & Pavement Fatigue,AI Camera / Patrol Vehicle,2024-08-07,Inspected - Work Order Issued,Pending,,CONTR_BMC_125
PTH_2024_00021,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07216,72.84786,7.9,0.31,High,Asphalt Over CC Base,Sub-grade Moisture Saturation,Traffic Police Notification,2024-09-01,Resolved / Repaired,Rapid Hardening Concrete,2024-09-04,CONTR_BMC_111
PTH_2024_00022,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06412,72.84539,5.6,3.0,Critical,Asphalt Over CC Base,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Traffic Police Notification,2024-07-25,Inspected - Work Order Issued,Pending,,CONTR_BMC_105
PTH_2024_00023,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.06328,72.84526,14.8,0.91,Critical,Asphalt Over CC Base,Sub-grade Moisture Saturation,Traffic Police Notification,2024-07-07,Resolved / Repaired,Rapid Hardening Concrete,2024-07-10,CONTR_BMC_117
PTH_2024_00024,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.07464,72.84447,5.0,1.45,Moderate,Asphalt Over CC Base,Heavy Axle Commercial Vehicle Load,Citizen (MyBMC App),2024-08-13,Resolved / Repaired,Rapid Hardening Concrete,2024-08-16,CONTR_BMC_118
PTH_2024_00025,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.0712,72.84803,4.8,1.9,Moderate,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,Traffic Police Notification,2024-06-16,Resolved / Repaired,Rapid Hardening Concrete,2024-06-19,CONTR_BMC_125
PTH_2024_00026,RD_WEH_01,Western Express Highway (Bandra to Santacruz),H/E,19.08418,72.84467,5.8,2.37,Critical,Asphalt Over CC Base,Waterlogging & Bitumen Stripping,AI Camera / Patrol Vehicle,2024-09-25,Resolved / Repaired,Rapid Hardening Concrete,2024-09-26,CONTR_BMC_116
PTH_2024_00027,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.10001,72.85339,11.3,2.89,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-09-22,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-09-25,CONTR_BMC_121
PTH_2024_00028,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.1058,72.85752,9.3,2.95,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),Citizen (MyBMC App),2024-09-07,Resolved / Repaired,Mastic Asphalt,2024-09-09,CONTR_BMC_101
PTH_2024_00029,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.11146,72.85707,17.0,1.55,Critical,Mastic Asphalt,Utility Trench Reinstatement Failure (MGL/MTNL/Adani),BMC Road Engineer Survey,2024-08-18,Citizen Reported,Pending,,CONTR_BMC_121
PTH_2024_00030,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.09802,72.85708,13.0,1.44,Critical,Mastic Asphalt,Heavy Axle Commercial Vehicle Load,BMC Road Engineer Survey,2024-09-02,In-Progress,Pending,,CONTR_BMC_102
PTH_2024_00031,RD_WEH_02,Western Express Highway (Santacruz to Andheri Flyover),K/E,19.09289,72.8524,10.0,3.25,Critical,Mastic Asphalt,Waterlogging & Bitumen Stripping,Traffic Police Notification,2024-08-22,Resolved / Repaired,Hot Mix Bituminous Concrete,2024-08-23,CONTR_BMC_120
