road_id,year,pci_score,structural_condition,monsoon_cycles_survived,drainage_proximity_score
RD_WEH_01,2019,92.5,Good,6,0.65
RD_WEH_01,2020,88.7,Good,5,0.65
RD_WEH_01,2021,85.2,Good,4,0.65
RD_WEH_01,2022,80.1,Good,3,0.65
RD_WEH_01,2023,78.3,Good,2,0.65
RD_WEH_01,2024,70.8,Good,1,0.65
RD_WEH_02,2019,91.3,Good,6,0.55
RD_WEH_02,2020,85.2,Good,5,0.55
RD_WEH_02,2021,80.1,Good,4,0.55
RD_WEH_02,2022,76.3,Good,3,0.55
RD_WEH_02,2023,73.3,Good,2,0.55
RD_WEH_02,2024,66.7,Fair,1,0.55
RD_WEH_03,2019,87.4,Good,6,0.5
RD_WEH_03,2020,82.3,Good,5,0.5
RD_WEH_03,2021,76.4,Good,4,0.5
RD_WEH_03,2022,72.7,Good,3,0.5
RD_WEH_03,2023,68.9,Fair,2,0.5
RD_WEH_03,2024,64.6,Fair,1,0.5
RD_WEH_04,2019,94.7,Good,6,0.45
RD_WEH_04,2020,91.3,Good,5,0.45
RD_WEH_04,2021,93.3,Good,4,0.45
RD_WEH_04,2022,89.0,Good,3,0.45
RD_WEH_04,2023,89.3,Good,2,0.45
RD_WEH_04,2024,88.1,Good,1,0.45
RD_WEH_05,2019,90.0,Good,6,0.67
RD_WEH_05,2020,88.4,Good,5,0.67
RD_WEH_05,2021,86.8,Good,4,0.67
RD_WEH_05,2022,84.8,Good,3,0.67
RD_WEH_05,2023,84.7,Good,2,0.67
RD_WEH_05,2024,82.1,Good,1,0.67
RD_SVR_01,2019,74.7,Good,6,0.75
RD_SVR_01,2020,67.2,Fair,5,0.75
RD_SVR_01,2021,64.9,Fair,4,0.75
RD_SVR_01,2022,62.2,Fair,3,0.75
RD_SVR_01,2023,56.8,Fair,2,0.75
RD_SVR_01,2024,50.0,Fair,1,0.75
RD_SVR_02,2019,75.8,Good,6,0.85
RD_SVR_02,2020,69.8,Fair,5,0.85
RD_SVR_02,2021,63.0,Fair,4,0.85
RD_SVR_02,2022,56.9,Fair,3,0.85
RD_SVR_02,2023,49.9,Poor / Reconstruction Required,2,0.85
RD_SVR_02,2024,44.4,Poor / Reconstruction Required,1,0.85
RD_SVR_03,2019,77.6,Good,6,0.79
RD_SVR_03,2020,77.0,Good,5,0.79
RD_SVR_03,2021,68.3,Fair,4,0.79
RD_SVR_03,2022,66.4,Fair,3,0.79
RD_SVR_03,2023,62.4,Fair,2,0.79
RD_SVR_03,2024,58.9,Fair,1,0.79
RD_SVR_04,2019,71.3,Good,6,0.87
RD_SVR_04,2020,65.7,Fair,5,0.87
RD_SVR_04,2021,56.8,Fair,4,0.87
RD_SVR_04,2022,50.8,Fair,3,0.87
RD_SVR_04,2023,43.3,Poor / Reconstruction Required,2,0.87
RD_SVR_04,2024,39.8,Poor / Reconstruction Required,1,0.87
RD_SVR_05,2019,68.2,Fair,6,0.77
RD_SVR_05,2020,62.9,Fair,5,0.77
RD_SVR_05,2021,60.4,Fair,4,0.77
RD_SVR_05,2022,57.3,Fair,3,0.77
RD_SVR_05,2023,51.6,Fair,2,0.77
RD_SVR_05,2024,47.6,Poor / Reconstruction Required,1,0.77
RD_SVR_06,2019,88.5,Good,6,0.63
RD_SVR_06,2020,86.3,Good,5,0.63
RD_SVR_06,2021,85.4,Good,4,0.63
RD_SVR_06,2022,82.6,Good,3,0.63
RD_SVR_06,2023,83.6,Good,2,0.63
RD_SVR_06,2024,81.5,Good,1,0.63
RD_LNK_01,2019,93.3,Good,6,0.77
RD_LNK_01,2020,92.9,Good,5,0.77
RD_LNK_01,2021,88.1,Good,4,0.77
RD_LNK_01,2022,88.5,Good,3,0.77
RD_LNK_01,2023,88.0,Good,2,0.77
RD_LNK_01,2024,85.8,Good,1,0.77
RD_LNK_02,2019,84.3,Good,6,0.79
RD_LNK_02,2020,84.6,Good,5,0.79
RD_LNK_02,2021,83.8,Good,4,0.79
RD_LNK_02,2022,83.3,Good,3,0.79
RD_LNK_02,2023,81.1,Good,2,0.79
RD_LNK_02,2024,80.7,Good,1,0.79
RD_LNK_03,2019,90.2,Good,6,0.75
RD_LNK_03,2020,89.2,Good,5,0.75
RD_LNK_03,2021,90.2,Good,4,0.75
RD_LNK_03,2022,85.3,Good,3,0.75
RD_LNK_03,2023,86.9,Good,2,0.75
RD_LNK_03,2024,82.8,Good,1,0.75
RD_LNK_04,2019,84.2,Good,6,0.73
RD_LNK_04,2020,83.6,Good,5,0.73
RD_LNK_04,2021,81.5,Good,4,0.73
RD_LNK_04,2022,81.2,Good,3,0.73
RD_LNK_04,2023,80.6,Good,2,0.73
RD_LNK_04,2024,79.0,Good,1,0.73
RD_LNK_05,2019,89.7,Good,6,0.7
RD_LNK_05,2020,90.1,Good,5,0.7
RD_LNK_05,2021,89.1,Good,4,0.7
RD_LNK_05,2022,87.0,Good,3,0.7
RD_LNK_05,2023,86.8,Good,2,0.7
RD_LNK_05,2024,84.7,Good,1,0.7
RD_EEH_01,2019,93.9,Good,6,0.85
RD_EEH_01,2020,87.9,Good,5,0.85
RD_EEH_01,2021,82.9,Good,4,0.85
RD_EEH_01,2022,74.9,Good,3,0.85
RD_EEH_01,2023,66.9,Fair,2,0.85
RD_EEH_01,2024,61.4,Fair,1,0.85
RD_EEH_02,2019,92.3,Good,6,0.77
RD_EEH_02,2020,87.3,Good,5,0.77
RD_EEH_02,2021,83.8,Good,4,0.77
RD_EEH_02,2022,78.3,Good,3,0.77
RD_EEH_02,2023,73.1,Good,2,0.77
RD_EEH_02,2024,69.2,Fair,1,0.77
RD_EEH_03,2019,95.7,Good,6,0.61
RD_EEH_03,2020,95.2,Good,5,0.61
RD_EEH_03,2021,94.0,Good,4,0.61
RD_EEH_03,2022,90.1,Good,3,0.61
RD_EEH_03,2023,89.8,Good,2,0.61
RD_EEH_03,2024,88.6,Good,1,0.61
RD_EEH_04,2019,96.9,Good,6,0.47
RD_EEH_04,2020,96.4,Good,5,0.47
RD_EEH_04,2021,95.1,Good,4,0.47
RD_EEH_04,2022,93.8,Good,3,0.47
RD_EEH_04,2023,91.3,Good,2,0.47
RD_EEH_04,2024,91.6,Good,1,0.47
RD_LBS_01,2019,70.1,Good,6,0.85
RD_LBS_01,2020,64.5,Fair,5,0.85
RD_LBS_01,2021,57.3,Fair,4,0.85
RD_LBS_01,2022,52.0,Fair,3,0.85
RD_LBS_01,2023,44.1,Poor / Reconstruction Required,2,0.85
RD_LBS_01,2024,37.3,Poor / Reconstruction Required,1,0.85
RD_LBS_02,2019,66.2,Fair,6,0.75
RD_LBS_02,2020,61.6,Fair,5,0.75
RD_LBS_02,2021,57.1,Fair,4,0.75
RD_LBS_02,2022,53.5,Fair,3,0.75
RD_LBS_02,2023,51.4,Fair,2,0.75
RD_LBS_02,2024,46.3,Poor / Reconstruction Required,1,0.75
RD_LBS_03,2019,80.5,Good,6,0.59
RD_LBS_03,2020,80.2,Good,5,0.59
RD_LBS_03,2021,79.9,Good,4,0.59
RD_LBS_03,2022,79.6,Good,3,0.59
RD_LBS_03,2023,76.3,Good,2,0.59
RD_LBS_03,2024,74.0,Good,1,0.59
RD_LBS_04,2019,87.5,Good,6,0.37
RD_LBS_04,2020,86.3,Good,5,0.37
RD_LBS_04,2021,84.4,Good,4,0.37
RD_LBS_04,2022,83.2,Good,3,0.37
RD_LBS_04,2023,83.9,Good,2,0.37
RD_LBS_04,2024,80.4,Good,1,0.37
RD_JVL_01,2019,97.0,Good,6,0.17
RD_JVL_01,2020,91.1,Good,5,0.17
RD_JVL_01,2021,85.1,Good,4,0.17
RD_JVL_01,2022,83.7,Good,3,0.17
RD_JVL_01,2023,76.9,Good,2,0.17
RD_JVL_01,2024,74.1,Good,1,0.17
RD_JVL_02,2019,91.2,Good,6,0.33
RD_JVL_02,2020,90.5,Good,5,0.33
RD_JVL_02,2021,87.7,Good,4,0.33
RD_JVL_02,2022,88.3,Good,3,0.33
RD_JVL_02,2023,86.4,Good,2,0.33
RD_JVL_02,2024,84.8,Good,1,0.33
RD_SCL_01,2019,92.0,Good,6,0.72
RD_SCL_01,2020,92.0,Good,5,0.72
RD_SCL_01,2021,92.8,Good,4,0.72
RD_SCL_01,2022,89.1,Good,3,0.72
RD_SCL_01,2023,88.1,Good,2,0.72
RD_SCL_01,2024,86.1,Good,1,0.72
RD_SCL_02,2019,97.0,Good,6,0.75
RD_SCL_02,2020,94.7,Good,5,0.75
RD_SCL_02,2021,93.7,Good,4,0.75
